	ko1	ko2	ko3	wt1	wt2	wt3
1423648_at	10.03	10.25	10.92	11.43	11.67	9.74
1460081_at	2.93	3.08	3.95	4.61	4.63	3.19
1436043_at	2.59	2.56	3.61	4.19	3.95	2.24
1448836_s_at	6.85	6.89	8.06	8.58	8.39	6.74
1438450_at	2.66	2.93	3.85	4.52	4.52	2.79
1428116_a_at	10.24	10.3	11.6	12.57	12.44	10.48
1451288_s_at	3.75	3.66	4.74	5.3	5.51	3.57
1457641_at	2.71	2.81	4.02	4.67	4.44	2.73
1424435_a_at	9	8.92	10.18	10.66	10.43	8.74
1442056_at	3.3	3.28	4.37	5.15	5.2	3.18
1456173_at	2.88	2.8	3.99	4.55	4.63	2.93
1450125_at	3.95	3.78	4.81	5.55	5.43	3.67
1453394_at	3.6	3.44	4.63	5.21	5.15	3.43
1417932_at	4.7	4.36	5.52	6.49	5.85	4.12
1440726_at	2	2.01	3.25	3.88	3.69	2.01
1446325_at	2.86	3.16	4.11	4.65	4.57	2.87
1447497_at	2.42	2.61	3.7	4.23	4.1	2.52
1428849_at	4.47	4.61	5.87	6.37	6.13	4.46
1447706_at	2.69	2.49	3.86	4.33	4.3	2.47
1420094_at	3.7	3.66	4.84	5.32	5.2	3.41
1440486_at	4.01	4.13	5.25	5.99	5.79	4.1
1416520_x_at	11.99	12.05	13.29	13.7	13.67	11.93
1425887_at	4.17	4.34	5.53	6.04	6.13	4.34
1416882_at	5.68	4.55	7.44	7.84	7.44	6.33
1450358_at	2.69	2.77	3.96	4.57	4.47	2.79
1442518_at	2.76	2.52	3.82	4.32	4.01	2.54
1447878_s_at	3.87	3.85	4.98	5.73	5.69	3.95
1424022_at	4.27	4.36	5.47	6.05	6.03	4.23
1454788_at	6.42	6.46	8.24	9.28	9.45	7.01
1436581_at	5.22	5.14	6.12	6.78	6.83	5.11
1418244_at	9.28	9.3	10.47	11.22	10.82	9.33
1435797_at	5.69	6.15	6.86	7.23	7.13	5.54
1435456_at	3.12	3.15	4.22	4.97	4.91	3.23
1450316_at	2.81	2.75	3.93	4.59	4.57	2.88
1428757_at	7.97	8.03	9.2	9.71	9.55	7.88
1427404_x_at	12.52	12.57	13.76	14.16	14.24	12.39
1454364_at	3.44	3.38	4.7	5.16	5.18	3.48
1438947_x_at	8.05	7.95	9.53	9.94	9.95	8.32
1449348_at	9.04	9.09	10.34	10.73	10.65	8.9
1424154_a_at	8.42	8.4	9.55	10.23	10.03	8.39
1452539_a_at	8.58	8.6	10.05	10.47	10.48	8.74
1444343_at	4.81	4.89	6.14	6.67	6.58	4.74
1432991_at	2.59	2.74	4	4.47	4.48	2.76
1422656_at	2.46	2.4	3.6	4.23	4.26	2.49
1419548_at	6.99	7.21	8.42	8.44	8.21	6.54
1430096_at	2.39	2.78	4.03	4.36	4.29	2.57
1421222_at	2.68	2.77	3.72	4.38	4.51	2.66
1428235_at	9.76	9.74	11.03	11.52	11.19	9.46
1453216_at	5.39	5.44	6.56	7.39	7.29	5.37
1436016_x_at	10.92	10.89	12.08	12.7	12.69	10.86
1416240_at	11.02	10.93	12.06	12.8	12.69	10.93
1432861_at	2.58	2.56	3.9	4.52	4.32	2.53
1448843_at	4.96	4.85	6.22	6.63	6.59	4.82
1458183_at	2.09	2.27	3.33	4.01	3.88	2.43
1429633_at	4.26	4.17	5.84	6.2	6.1	4.48
1425266_a_at	8.8	9.05	10.07	10.41	10.54	8.7
1434543_a_at	9.88	9.97	11.21	11.37	11.3	9.67
1427689_a_at	9.96	9.73	10.93	11.34	11.04	9.81
AFFX-18SRNAMur/X00686_5_at	6.7	10.28	9	8.16	8.93	7.05
1429171_a_at	8.38	8.33	9.53	10.19	10.03	8.33
1448695_at	6.36	5.78	7.11	7.81	7.69	5.86
1448942_at	4.64	4.7	5.9	6.53	6.44	4.79
1433279_at	3.3	3.43	4.36	5.14	5.24	3.46
1428410_at	6.52	6.64	7.85	8.14	8.13	6.19
1457447_at	4.13	4.64	5.61	6.22	6.31	4.31
1437381_x_at	6.03	6.11	7.31	7.77	7.65	5.9
1448815_at	4.84	5.03	5.93	6.66	6.38	4.96
1439897_at	4.14	3.8	4.58	7.03	6.86	4.95
1416436_a_at	6.46	6.39	7.92	8.32	8.15	6.56
1445872_at	2.46	2.53	3.75	4.31	4.18	2.36
1433012_at	2.93	3	4.24	4.66	4.62	2.72
1439219_at	2.51	2.53	3.75	4.3	4.19	2.67
1439982_at	2.64	2.68	3.87	4.57	4.4	2.65
1423558_at	3.43	3.52	4.67	4.94	5.11	3.36
1452433_at	6.14	6.41	7.22	7.39	7.51	5.82
1422995_at	3.46	3.49	4.84	5.32	5.06	3.31
1455279_at	3.83	3.48	4.92	5.54	5.39	3.64
1429761_at	4	3.77	4.87	5.64	5.39	3.69
1432762_at	3.65	3.61	4.79	5.33	5.2	3.58
1419880_x_at	6.91	6.9	8.3	8.59	8.8	6.77
1418188_a_at	8.44	8.05	9.77	9.74	9.86	8.15
1456333_a_at	3.1	3.25	4.32	4.76	4.83	3.1
1418957_at	3.14	3.09	4.12	4.77	4.69	3.04
1444500_at	4.92	5.05	6.14	6.53	6.6	4.86
1431616_at	2.75	2.77	3.87	4.68	4.66	2.89
1431642_at	2.28	2.47	3.58	4.03	3.93	2.08
1431053_at	4.03	4.11	5.44	5.79	5.62	3.95
1424562_a_at	10.74	10.79	11.86	12.43	12.45	10.63
1459125_at	2.59	2.37	3.6	4.12	4.08	2.21
1451071_a_at	8.48	8.51	9.93	10.47	10.32	8.33
1431255_at	3.17	3	4.04	4.66	4.54	2.94
1417502_at	3.68	3.7	4.8	5.5	5.48	3.38
1441271_at	3.79	3.87	4.99	5.63	5.56	3.77
1421520_at	3.68	3.48	4.83	5.37	5.5	3.63
1439608_at	2.78	2.9	4.22	4.87	4.56	2.87
1446115_at	2.58	2.37	3.77	4.46	4.41	2.76
1434776_at	2.48	2.29	3.48	4.08	3.97	2.43
1448945_at	4.02	3.81	4.92	5.84	5.65	3.86
1438767_at	7.55	7.85	9.06	9.54	9.64	7.76
1421003_at	3.86	3.91	5.04	5.74	5.79	3.99
1459709_at	2.39	2.46	3.66	4.09	4.06	2.51
1451069_at	7.27	7.65	9.07	8.93	8.78	7.15
1428593_at	9.06	9.19	10.44	10.76	10.6	8.95
1437495_at	5.7	5.65	6.58	7.54	7.62	5.85
1416859_at	9.36	9.49	10.5	11.13	10.93	9.22
1418869_a_at	8.52	8.63	9.88	10.13	10.13	8.45
1429456_a_at	7.07	7.41	8.71	8.83	8.7	7.07
1431880_at	2.78	3.19	4.07	4.65	4.67	2.93
1435018_at	5.25	5.39	6.64	7.27	7.07	5.22
1425170_a_at	4.25	4.37	5.66	6.02	6.2	4.29
1440967_at	2.8	3.05	3.94	4.63	4.68	2.87
1427079_at	4.16	3.71	5.04	5.4	5.52	3.73
1439354_at	2.12	2.22	3.45	4.07	4.01	2.27
1445555_at	2.89	2.84	4.09	4.67	4.32	2.63
1446654_at	3.53	3.17	4.41	5	4.96	3.3
1416889_at	3.61	3.55	4.77	5.64	5.35	3.66
1440002_at	4.81	4.53	6.23	6.72	6.57	4.91
1450318_a_at	3.49	3.94	4.86	5.38	5.3	3.43
1444332_at	2.87	3.28	4.28	4.82	4.71	3
1430224_at	2.99	3.25	4.3	5.02	4.8	3.34
1454958_at	7.06	7.19	8.26	8.62	8.68	6.96
1431573_at	2.79	2.89	4.31	4.63	4.56	2.86
1445272_at	2.64	2.55	3.85	4.29	4.16	2.47
1440452_at	4.95	5.02	6.46	6.83	6.81	4.98
1431980_a_at	3.39	3.58	4.58	5.32	4.98	3.76
1457556_at	2.53	2.64	3.69	4.24	4.33	2.61
1448291_at	2.92	2.92	4.17	4.73	4.66	2.91
1437260_at	2.63	2.54	3.7	4.38	4.34	2.53
1417169_at	5.54	5.65	7.09	7.36	7.08	5.49
1429537_at	6.93	6.72	8.03	8.85	8.62	6.74
1454707_at	6.08	6.06	6.95	7.51	7.63	5.87
1440901_at	3.84	3.7	4.94	5.57	5.57	3.57
1437919_at	5.02	4.65	6.19	6.52	6.25	4.8
1456030_at	4.68	4.86	5.76	6.48	6.43	4.55
1454656_at	7.48	7.43	8.79	9.41	9.54	7.8
1446687_at	4.33	4.54	5.52	6.29	6.01	4.4
1438582_at	2.82	2.72	4.19	4.7	4.6	3.13
1416765_s_at	9.77	9.74	10.97	11.51	11.46	9.71
1449289_a_at	12.83	12.75	13.87	14.68	14.54	12.86
1430505_at	4.41	4.03	4.93	5.83	5.64	4.12
1450606_at	3.82	3.88	4.76	5.7	5.81	3.99
1431517_at	3.09	3.51	4.27	5.18	4.93	3.23
1432311_at	4.97	4.89	5.92	6.46	6.67	5.02
1452234_s_at	3.8	3.77	4.93	5.5	5.58	3.62
1432967_at	2.71	2.71	4.07	4.43	4.4	2.53
1424091_at	5.3	5.25	6.46	7.44	7.11	5.48
1428028_at	3.61	3.7	4.79	5.34	5.21	3.58
1457248_x_at	7.97	7.92	8.82	9.56	9.4	7.77
1417407_at	7.75	8.1	9.12	9.61	9.68	7.85
1446056_at	2.87	2.86	3.96	4.63	4.51	2.8
1430916_at	3.24	3.21	4.34	4.99	4.95	3.08
1454096_a_at	3.06	3.07	4.43	4.68	4.65	3.08
1455302_at	2.39	2.25	3.54	3.98	4.13	2.2
1424906_at	7.31	7.19	8.44	9.03	9.26	7.49
1444729_at	4.37	4.37	5.44	6.13	6.1	4.41
1439275_s_at	3.52	3.47	4.87	5.53	5.39	3.71
1417035_at	7.48	7.4	8.7	9.03	8.93	7.2
1427410_at	3.02	2.97	4.03	4.55	4.51	2.9
1432985_at	3.21	3.04	4.13	4.95	5.19	3.02
1422111_at	3.78	3.76	5.12	5.69	5.56	3.69
1418923_at	3.18	3.24	4.27	4.92	4.87	3.2
1456383_at	10.1	10.15	11.29	11.83	11.59	9.98
1424523_at	8.24	8.26	9.66	9.82	10	8.26
1418042_a_at	5.83	5.81	6.6	7.57	7.6	5.59
1437466_at	6.43	6.39	7.74	7.12	7.1	5.61
1418851_at	5.09	5.32	6.72	6.98	6.92	5.11
1451207_at	7.2	6.93	8.19	8.79	8.79	7.07
1422403_at	5	4.87	5.9	6.68	6.47	4.84
1418788_at	2.6	2.45	3.79	4.24	4.37	2.51
1420493_a_at	7.77	7.83	8.87	9.36	9.55	7.55
1451411_at	2.35	2.37	3.51	4.21	4.17	2.45
1440820_x_at	2.37	2.22	3.47	4.05	4.2	2.35
1418915_at	6.18	6.17	7.46	7.77	7.61	6.08
1421464_at	2.93	3.11	4.36	5.13	4.84	3.06
1431173_at	4.77	4.43	5.92	6.37	6.29	4.58
1449762_at	4.43	4.3	5.47	6.21	6.11	4.48
1422952_at	3.25	3.1	4.37	4.92	5.02	3.24
1416893_at	10.08	9.89	11.34	12.24	12.11	10.34
1459429_at	3.15	3.33	4.3	4.92	4.78	2.94
1423277_at	6.64	6.59	7.91	8.46	8.37	6.57
1456663_x_at	7.13	7.03	7.85	8.65	8.42	6.28
1448479_at	8.92	9.16	10.3	10.67	10.69	8.87
1429899_at	2.46	2.5	3.68	4.12	4.2	2.26
1446858_at	2.4	2.39	3.72	4.12	3.96	2.13
1443488_at	2.23	2.31	3.28	3.94	3.82	2.07
1423817_s_at	8.57	8.56	9.73	10.25	10.1	8.47
1455009_at	4.75	4.36	6.39	5.42	4.89	4.19
1445374_at	4.33	4.4	5.45	6.2	5.96	4.28
1455331_at	5.22	5.21	6.59	7.15	7.08	5.17
1426978_at	4.42	4.64	5.88	6.47	6.59	4.61
1435752_s_at	3.11	3.23	4.04	4.79	4.83	3
1442816_at	3.07	2.73	4.12	4.62	4.7	2.92
1451541_at	6.25	6.34	7.34	7.97	7.86	6.14
1430255_at	3.22	3.27	4.49	5	5.2	3.27
1450320_at	2.56	2.48	3.86	4.3	4.47	2.44
1447343_at	2.74	2.73	3.76	4.5	4.34	2.53
1425917_at	2.25	2.5	3.4	4.17	4.18	2.53
1442375_at	3.44	3.41	4.59	5.15	5.31	3.58
1459673_at	2.99	2.92	4.29	4.88	4.84	3.15
1441708_at	2.68	2.61	3.96	4.36	4.32	2.66
1430933_at	2.82	3.04	4.4	4.68	4.64	2.9
AFFX-r2-Bs-dap-5_at	6.1	5.52	6.82	7.61	7.42	5.7
1444756_at	2.98	2.79	4.17	4.7	4.55	2.7
1443714_at	3.16	3.12	4.24	5.24	4.73	2.93
1421014_a_at	6.03	6.02	6.3	7.53	7.43	5.49
1434702_at	7.65	7.63	8.96	9.43	9.31	7.58
1460326_at	7.64	7.58	8.93	9.25	9.24	7.45
1417249_at	5.38	5.24	6.6	7.19	7.29	5.39
1452986_at	3.28	3.31	4.48	5.17	5.09	3.33
1456600_a_at	7.96	8.38	9.42	10.07	9.95	8.19
1459876_at	3.44	3.76	4.93	5.26	5.05	3.39
1424245_at	3.66	3.64	4.72	5.49	5.41	3.57
1445557_at	3.96	3.86	4.99	5.7	5.55	3.82
1425986_a_at	3.94	4.16	5.41	5.96	5.88	4.12
1438417_at	4.64	4.53	5.79	6.25	6.23	4.4
1455881_at	3.58	3.04	4.46	5.04	4.92	3.09
1437935_at	2.43	2.25	3.49	4.17	3.93	2.47
1430272_at	5.27	5.4	6.5	7	7.09	5.31
1449773_s_at	8.49	8.42	9.85	9.71	9.42	8.38
1418763_at	7.25	7.17	8.29	8.65	8.57	6.95
AFFX-r2-Bs-lys-3_at	3.32	3	4.34	4.96	4.72	2.89
1432975_at	2.92	2.83	4.19	4.65	4.63	2.77
1447191_at	2.85	3.01	4.47	4.84	4.72	2.8
1422119_at	4.45	4.25	5.47	6.14	6.24	4.4
1452217_at	9.07	9.13	10.4	10.75	10.72	9.02
1424739_at	2.89	2.66	4.01	4.5	4.51	2.58
1424376_at	4.46	4.51	5.54	6.13	6	4.21
1418132_a_at	5.01	4.82	6.16	6.86	6.74	5.05
1452327_at	5.34	5.46	6.54	7.22	7.41	5.26
1451556_a_at	6.49	6.72	7.81	8.03	8.07	6.14
1457577_at	2.92	2.91	4.03	4.63	4.56	2.86
1451745_a_at	9.41	9.46	10.57	11.17	10.98	9.28
1422405_at	4.02	4.1	5.17	5.85	5.77	4.06
1459725_s_at	3.6	3.22	4.65	5.35	5.14	3.24
1454059_at	3.36	3.25	4.66	5.17	5.3	3.4
1455074_at	2.59	2.78	3.73	4.49	4.57	2.62
1435015_at	4.83	4.79	6.07	6.16	6.01	4.48
1445539_at	3.35	3.13	4.52	5	5.13	3.3
1441938_x_at	2.27	2.44	3.46	4.1	4.18	2.27
1434581_at	2.56	2.89	3.82	4.52	4.44	2.84
1433676_at	10.77	10.56	11.68	12.29	12.38	10.49
1424857_a_at	6.54	3.73	6	9.37	7.65	7.09
1440641_at	3.53	3.43	4.9	5.28	5.28	3.3
1417706_at	4.6	4.79	5.84	6.42	6.43	4.53
1429115_at	6.39	6.63	7.81	8.42	8.27	6.63
1445241_at	3.49	3.49	5.37	5.45	5.33	3.64
1450585_at	2.71	2.8	3.94	4.65	4.72	2.84
1434858_x_at	3.48	3.49	4.67	5.17	5.21	3.33
1423068_at	3.86	3.92	4.83	5.53	5.6	3.68
1421130_at	3.73	3.73	4.81	5.3	5.49	3.75
1440733_at	5.02	5.28	6.39	6.87	6.8	5.08
1424944_at	2.65	2.75	4.07	4.46	4.34	2.66
1460103_at	2.74	2.62	4.26	4.46	4.34	2.96
1422729_at	2.66	2.46	3.95	4.05	4.19	2.39
1434071_a_at	6.23	6.34	7.55	7.9	7.91	6.12
1457330_at	3.37	3.22	4.28	5.05	4.89	3.18
1446320_at	2.78	2.81	3.97	4.54	4.74	3.01
1424477_at	2.86	2.93	4.12	4.92	4.84	3.06
1435145_at	2.15	2.13	3.42	3.96	3.78	2.09
1419432_at	2.42	2.42	3.56	4	3.96	2.46
1417718_at	10.83	10.97	12.24	12.52	12.35	10.73
1417261_at	5.61	5.56	7.06	7.32	7.25	5.41
1440991_at	2.55	2.71	3.98	4.66	4.72	2.85
1440648_at	3.19	3.09	4.26	4.8	4.88	3.24
1418785_at	5.29	5.25	6.52	7.17	7.16	5.37
1428763_at	4.87	5.1	5.91	6.75	6.37	4.76
1423000_a_at	4.67	4.51	5.76	6.31	6.22	4.18
1435842_at	4.48	4.56	5.89	6.34	6.34	4.53
1416468_at	2.2	2.43	3.79	4.26	4.24	2.42
1457083_at	4.64	4.55	5.83	6.46	6.33	4.69
1431303_at	4.79	4.89	5.88	6.42	6.46	4.81
1453099_at	8.83	8.87	10.21	10.47	10.44	8.8
1434969_at	3.03	3.29	4.28	5.08	5	3.09
1458773_at	2.84	3.25	4.11	4.77	4.83	3.03
1451651_at	3	3.28	4.27	4.78	4.79	3.06
1421949_a_at	5	4.74	5.86	6.75	6.74	5.07
1434675_at	4.32	4.38	5.44	6.01	5.8	4.03
1433462_a_at	6.18	5.79	7.2	7.46	7.55	5.69
1458567_at	4.22	4.33	5.31	6.13	6.14	4.26
1457748_at	3.4	2.86	4.44	5.12	4.87	3.14
1438648_x_at	4.08	3.91	5.08	5.67	5.63	3.97
1433822_x_at	11.17	11.21	12.32	12.79	12.77	10.98
1450930_at	2.68	2.68	4.03	4.55	4.5	2.71
1440844_at	3.77	3.87	4.89	5.53	5.45	3.65
1444167_at	3.84	4.28	5.05	5.66	5.62	3.88
1455091_at	3.27	3.25	4.63	4.95	4.84	3.18
1442262_at	3.73	3.53	4.86	5.5	5.41	3.47
1420102_at	2.46	2.73	4.16	4.47	4.16	2.63
1456582_x_at	2.62	2.58	3.64	4.5	4.42	2.63
1422277_at	2.75	2.95	4.01	4.6	4.55	2.82
1460715_x_at	2.38	2.25	3.4	4.04	4.14	2.35
1415915_at	9.65	9.9	11.02	11.57	11.44	9.68
1451448_a_at	7.65	7.59	8.3	9.14	9.12	7.33
1437015_x_at	2.23	2.23	3.47	4.06	4.01	2.25
1421303_at	7.53	7.15	8.62	9.35	9.36	7.47
1441006_at	4.98	5.12	6.1	6.12	6.46	4.89
1416018_at	6.82	6.86	8.09	8.82	8.82	7
1427578_a_at	10.73	10.77	12.02	12.43	12.22	10.58
1442060_at	2.51	2.34	3.37	4.39	3.96	2.32
1460104_at	3.1	3.15	4.23	4.87	4.78	3.02
1420178_at	3.55	3.42	4.87	5.37	5.38	3.68
1423616_at	7.3	7.49	8.95	8.85	8.7	7.23
1449521_at	3.88	3.52	4.79	5.38	5.66	3.69
1440150_at	3.67	3.61	4.85	5.33	5.4	3.46
1440263_at	7.33	7.32	8.73	9.05	8.91	7.18
1445480_at	3.56	3.6	4.84	5.2	5.21	3.38
1430905_at	3.32	3.25	4.55	5.17	5.1	3.37
1430416_at	3.14	3.25	4.31	4.85	4.82	3.24
1431977_at	2.95	3.11	4.23	4.9	4.8	3.01
1422211_a_at	3.87	3.94	5.24	5.72	5.71	3.91
1427211_at	3.11	3.25	4.52	4.92	4.88	3.04
1437627_at	3.74	4.03	4.64	5.61	5.31	3.62
1445812_at	2.41	2.46	3.74	4.27	4.19	2.34
1447784_x_at	4.29	4.17	5.68	6.06	5.83	4.18
1425291_at	3.4	3.45	4.65	5.22	5.1	3.32
1457193_at	5.27	5.03	6.52	6.86	7.19	5.12
1436482_a_at	5.02	4.77	5.92	6.81	6.9	5.02
1456166_at	3.44	3.79	4.69	5.14	5.13	3.44
1439983_a_at	2.7	2.79	4.02	4.52	4.46	2.51
1459294_at	2.8	2.83	3.69	4.61	4.49	2.8
1446633_at	2.65	2.89	3.6	4.38	4.17	2.66
1423279_at	3.18	3.14	4.36	4.88	5.19	3.19
1427244_at	7.02	7.02	7.98	8.54	8.55	6.82
1423421_at	3.77	3.5	4.92	5.46	5.16	3.7
1434816_at	6.07	6.02	7.26	7.67	7.41	5.83
1456807_at	3.21	3.59	4.48	5.16	5.03	3.21
1436472_at	6.64	6.62	7.91	8.42	8.19	6.74
1448401_at	7.89	8.02	9.18	9.63	9.73	7.87
1421641_at	3.17	3.18	4.24	5.01	5.06	3.42
1423512_at	7.18	7.44	8.61	8.81	8.66	7.11
1426831_at	7.74	7.7	9.22	9.5	9.53	7.6
1416472_at	7.41	7.38	8.55	9.24	9.25	7.49
1424917_a_at	2.86	2.58	3.84	4.55	4.53	2.63
1430740_at	2.78	2.73	3.9	4.31	4.41	2.59
1430279_at	2.96	2.97	4.07	4.69	4.58	2.91
1440246_at	2.67	2.67	3.88	4.51	4.79	2.68
1440361_at	2.49	2.42	3.61	4.3	4.2	2.39
1433362_at	3	3.03	4.48	4.77	4.92	3.27
1455152_at	7.93	7.83	9.07	9.85	9.64	8.01
1418353_at	10.54	10.31	11.89	12.2	12.04	10.51
1420578_at	4.24	4.09	5.32	5.85	5.73	3.9
1440581_at	2.52	2.44	3.77	4.23	4.3	2.3
1439550_at	4.15	4.1	5.28	5.79	5.82	4.03
1426847_at	5.54	5.46	6.65	7.23	7.01	5.32
1442905_at	3.77	3.65	4.89	5.44	5.36	3.63
1428177_at	8.97	8.98	10.07	10.74	10.6	8.92
1434910_at	7.02	7	8.29	8.66	8.53	6.95
1445027_at	4.09	4.25	5.24	5.79	5.71	4.03
1440870_at	3.03	3.01	4.36	5.25	4.73	3.17
1415914_at	11.89	11.92	13.18	13.75	13.65	11.92
1433543_at	7.8	7.77	8.94	9.36	9.33	7.72
1434992_at	2.87	3.14	4.25	4.53	4.63	2.93
1441707_at	4.88	4.73	6.32	6.33	6.23	4.9
1415759_a_at	9.72	9.72	10.84	11.44	11.3	9.64
1426977_at	8.09	8.19	9.34	9.82	9.7	7.94
1427994_at	4.12	3.99	5.32	5.66	5.76	3.8
1418277_at	9.11	9.14	10.36	10.82	10.85	9.12
1440077_at	2.72	2.62	3.81	4.29	4.36	2.47
1418222_at	7.01	7.4	8.68	8.86	8.84	7.19
1459261_at	2.1	2.37	3.36	4.06	3.94	2.15
1455967_at	3.48	3.49	4.6	5.31	5.21	3.4
1417240_at	7.66	7.77	9.36	9.45	9.79	7.94
1416432_at	6.14	6.34	7.44	7.85	7.74	5.84
1458728_at	2.69	2.57	3.84	4.38	4.37	2.59
1430578_at	3.3	3.39	4.54	4.89	4.85	3.17
1442655_at	2.49	2.75	3.93	4.48	4.28	2.75
1415781_a_at	12.27	12.26	13.53	14.14	14.01	12.29
1458374_at	7.36	7.17	8.65	9.06	9.01	7.39
1425851_a_at	4.09	4.17	5.7	6.03	6.15	4.57
1434613_at	6.02	6.14	7.53	7.64	7.81	5.89
1432951_at	3.4	3.45	4.53	5.02	5.02	3.27
1458388_at	2.62	2.58	3.87	4.41	4.31	2.62
1434327_at	6.08	5.69	6.99	7.37	7.39	5.42
1450026_a_at	8.75	8.91	10.23	10.62	10.29	8.85
1448981_x_at	5.1	4.91	5.84	6.53	6.73	4.81
1429152_at	5.87	5.93	7.07	7.71	7.5	5.93
1444242_at	3.18	3.23	4.64	5.2	4.97	3.05
1433428_x_at	9.38	9.96	11.27	12.09	12.14	10.33
1415695_at	10.73	10.76	11.85	12.48	12.37	10.67
1454142_a_at	7.65	7.75	8.91	9.41	9.08	7.49
1459418_at	2.75	2.7	4	4.5	4.45	2.81
1449994_at	2.94	2.93	3.9	4.72	4.75	2.97
1450162_at	3.48	3.72	4.85	5.13	5.34	3.52
1439001_at	4.23	4.11	5.26	5.95	5.93	4.15
1416325_at	2.02	2.25	3.43	3.96	3.8	2.2
1420795_at	4.11	4.11	5.04	5.83	5.89	3.86
1460644_at	7.11	7.19	8.47	8.8	8.77	7.09
1415691_at	6.99	7.42	8.36	8.79	8.67	6.94
1437339_s_at	2.9	2.85	4.07	4.7	4.66	2.82
1441841_at	5.25	5.39	6.5	7.2	7.2	5.41
1438423_at	2.4	2.47	3.68	4.25	4	2.21
1439327_at	2.32	2.33	3.46	3.91	3.95	2.29
1444349_at	3.34	3.06	4.34	5.4	5.19	3.64
1417697_at	5.79	5.64	7.13	7.68	7.97	5.99
1434166_at	3.92	4.08	5.13	5.56	5.59	3.78
1452706_a_at	4.27	4.34	5.75	6.39	6.27	4.32
1434135_at	6.88	6.99	8.07	8.55	8.42	6.64
1426492_at	7.61	7.79	8.81	9.28	9.13	7.25
1438492_at	3.47	3.79	4.59	5.25	5.2	3.4
1421037_at	3	2.89	4.12	4.67	4.52	2.87
1455208_at	3.48	3.53	4.91	5.76	5.73	3.94
1437240_at	3.42	3.93	5.02	5.4	5.4	3.79
1445947_at	3.55	3.56	4.67	5.1	5.36	3.37
1446861_at	3.4	3.39	4.68	5.27	5.13	3.35
1445528_at	2.11	2.38	3.47	4.01	3.97	2.21
1422013_at	2.97	3.07	4.36	4.67	4.73	3.16
1432522_s_at	4.1	4.09	5.24	5.79	5.38	3.98
1437580_s_at	8.37	8.38	9.66	10.17	10.1	8.46
1418684_at	5.91	6.02	6.98	7.61	7.69	5.88
1430337_at	2.83	3.12	4.34	4.96	4.72	2.81
1446612_at	2.42	2.4	3.79	4.06	4.02	2.35
1430161_at	3.36	3.38	4.43	5.14	5.06	3.31
1427363_at	5.56	5.81	6.8	7.48	7.47	5.84
1447300_at	3.2	3.36	4.81	5.05	5.18	3.32
1441382_at	2.23	2.2	3.62	4.04	3.92	2.24
1456307_s_at	8.79	9	10.08	10.75	10.87	9.04
1453402_at	2.57	2.82	3.81	4.37	4.11	2.47
1454332_at	2.51	2.44	3.58	4.07	4.15	2.23
1449136_at	3.16	2.92	4.04	4.73	4.69	2.64
1420019_at	2.91	3.02	4.34	4.87	4.63	3.15
1432163_at	2.72	2.89	3.98	4.43	4.31	2.86
1430004_s_at	2.77	2.75	3.88	4.58	4.43	2.68
1433551_at	4.33	4.36	5.31	5.67	6.67	4.53
1431701_a_at	3.99	4.1	5.26	5.81	5.78	4.12
1447951_at	5.25	5.17	6.32	6.96	6.92	4.96
1422470_at	10.26	10.4	11.1	11.83	11.97	9.95
1425973_at	4.01	4.07	5.24	5.65	5.67	3.87
1446307_at	3.07	3.24	4.56	4.83	4.91	3.33
1424584_a_at	6.71	6.9	8.01	8.66	8.64	6.9
1432590_at	3.26	3.39	4.56	5.09	5.13	3.21
1455887_at	7.94	7.25	8.84	9.79	9.59	8.39
1434791_at	6.68	6.94	8.03	8.42	8.45	6.56
1442342_at	4.73	4.73	6.09	6.45	6.53	4.62
1425059_at	5.63	6.15	7.23	7.69	7.8	5.81
1451224_at	3.67	3.77	4.6	5.35	5.58	3.49
1456348_x_at	4.1	3.82	5.1	5.62	5.39	3.77
1425283_a_at	5.22	4.92	6.22	6.71	6.79	4.81
1421835_at	3.24	3.21	4.83	4.73	5.88	3.81
1415709_s_at	6.91	7.08	8.3	8.74	8.72	7.08
1445425_at	3.51	3.43	4.86	5.31	5.39	3.61
1444639_at	4.45	4.61	5.65	6.38	6.48	4.57
1456929_at	3.3	3.05	4.49	5.05	4.89	3.05
1435603_at	3.69	3.78	5.05	5.57	5.77	3.81
1447035_at	3.13	3.16	4.43	4.89	4.77	3.03
1445510_at	3.76	3.52	4.6	5.37	5.28	3.69
1421141_a_at	5.47	5.51	7.14	6.65	6.58	5.55
1425909_at	3.6	3.68	4.84	5.1	5.43	3.42
1421664_a_at	7.57	7.72	9.14	9.33	9.25	7.54
1433093_at	2.37	2.73	3.81	4.42	4.27	2.67
1421747_at	3.13	3.17	4.36	4.89	4.9	3.1
1417001_a_at	9.9	9.43	10.62	11.61	11.6	9.53
1445016_at	2.9	3.16	4.22	4.82	4.73	3.1
1449387_at	2.96	3.06	4.3	4.65	4.6	2.88
1452042_a_at	3.73	3.7	4.65	5.14	5.55	3.22
1420301_at	2.74	2.8	4.07	4.58	4.55	2.85
1445705_x_at	2.53	2.44	3.84	4.33	4.27	2.57
1445718_at	3.74	3.58	4.56	5.22	5.01	3.32
1429161_at	6.3	6.33	7.7	8.23	7.91	6.26
1459571_at	3.6	3.76	4.8	5.66	5.23	3.47
1455436_at	2.66	2.86	4.05	4.63	4.53	2.93
